0.0  0.0
0.00592537  109
0.0125529  170
0.0199451  163
0.0281693  176
0.037298  245
0.0474097  253
0.0585887  91
0.070926  126
0.0845197  183
0.0994754  145
0.115907  273
0.133936  106
0.153695  195
0.175325  189
0.198979  182
0.22482  188
0.253026  202
0.283784  255
0.317299  179
0.35379  384
0.393491  177
0.436655  215
0.483552  222
0.534474  155
0.589733  122
0.649664  154
0.714627  186
0.785007  178
0.861219  178
0.943706  213
1.03295  233
1.12945  231
1.23376  196
1.34646  181
1.46819  107
1.59962  126
1.74148  153
1.89452  110
2.05959  147
2.23756  117
2.4294  132
2.63612  93
2.8588  130
3.09862  140
3.35682  92
3.63474  104
3.93381  55
4.25556  101
4.60163  73
4.97377  78
5.37385  70
5.80389  57
6.26602  61
6.76253  57
7.29589  78
7.86871  77
8.4838  34
9.14416  44
9.85298  28
10.6137  31
11.43  37
12.3057  29
13.2451  29
14.2527  16
15.3331  28
16.4915  25
17.7333  26
19.0645  33
20.4911  14
22.0198  15
23.6578  19
25.4125  21
27.2922  22
29.3054  15
31.4613  22
33.7699  13
36.2415  26
38.8875  38
41.7199  16
44.7513  14
47.9955  22
51.4671  27
55.1815  22
59.1555  25
63.4066  24
67.9539  12
72.8174  26
78.0186  29
83.5806  15
89.5279  24
95.8864  17
102.684  30
109.951  22
117.718  16
126.02  14
134.892  18
144.373  26
154.505  17
165.33  17
176.895  24
189.25  13
202.449  13
216.547  17
231.606  18
247.688  20
264.863  36
283.204  18
302.789  22
323.7  26
346.026  23
369.861  28
395.306  40
422.468  25
451.461  27
482.407  23
515.435  34
550.683  38
588.298  39
628.438  39
671.269  25
716.97  27
765.73  34
817.75  40
873.247  47
932.45  62
995.603  35
1062.97  42
1134.82  51
1211.45  50
1293.18  49
1380.34  44
1473.29  55
1572.42  22
1678.11  38
1790.81  36
1910.97  41
2039.09  31
2175.68  28
2321.3  29
2476.53  19
2642.01  30
2818.41  32
3006.43  26
3206.85  19
3420.45  13
3648.11  18
3890.75  18
4149.32  15
4424.88  25
4718.53  10
5031.44  28
5364.87  17
5720.15  37
6098.69  11
6502.01  6
6931.71  6
7389.5  5
7877.22  3
8396.78  4
8950.26  3
9539.85  7
10167.9  4
10836.9  14
11549.4  2
12308.3  3
13116.7  2
13977.6  2
14894.5  1
15870.9  2
16910.8  0
18018.2  1
19197.5  1
20453.2  0
21790.4  0
23214.2  0
24730.2  0
26344.4  0
28063.1  0
29892.9  0
31841.1  0
33915.2  0
36123.3  0
38473.9  0
40976.4  0
43640.3  0
46476  0
49494.5  0
52707.6  0
56127.7  0
59768.1  0
63642.8  0
67766.8  0
72156.1  0
76827.6  0
81799.4  0
87090.7  0
92721.8  0
98714.5  0
