0.0  0.0
0.5  0
1  0
1.5  0
2  0
2.5  0
3  0
3.5  0
4  0
4.5  0
5  1783
5.5  24416
6  24469
6.5  24547
7  24260
7.5  24758
8  24337
8.5  24452
9  24271
9.5  24792
10  24982
10.5  24132
11  24641
11.5  24322
12  24697
12.5  24979
13  24274
13.5  24841
14  24509
14.5  24735
15  24296
15.5  2002
16  0
16.5  0
17  0
17.5  0
18  0
18.5  0
19  0
