/gps/hist/point 0.0  0.0
/gps/hist/point 0.00251256  13578
/gps/hist/point 0.00502513  13627
/gps/hist/point 0.00753769  13637
/gps/hist/point 0.0100503  13939
/gps/hist/point 0.0125628  13589
/gps/hist/point 0.0150754  13657
/gps/hist/point 0.0175879  13643
/gps/hist/point 0.0201005  13843
/gps/hist/point 0.0226131  14135
/gps/hist/point 0.0251256  14329
/gps/hist/point 0.0276382  14211
/gps/hist/point 0.0301508  14000
/gps/hist/point 0.0326633  14448
/gps/hist/point 0.0351759  14362
/gps/hist/point 0.0376884  14411
/gps/hist/point 0.040201  14398
/gps/hist/point 0.0427136  14686
/gps/hist/point 0.0452261  14740
/gps/hist/point 0.0477387  14756
/gps/hist/point 0.0502513  14862
/gps/hist/point 0.0527638  15147
/gps/hist/point 0.0552764  15295
/gps/hist/point 0.0577889  15250
/gps/hist/point 0.0603015  15396
/gps/hist/point 0.0628141  15366
/gps/hist/point 0.0653266  15677
/gps/hist/point 0.0678392  15618
/gps/hist/point 0.0703518  15475
/gps/hist/point 0.0728643  15751
/gps/hist/point 0.0753769  16073
/gps/hist/point 0.0778894  15980
/gps/hist/point 0.080402  15783
/gps/hist/point 0.0829146  16008
/gps/hist/point 0.0854271  16177
/gps/hist/point 0.0879397  16320
/gps/hist/point 0.0904523  16166
/gps/hist/point 0.0929648  16333
/gps/hist/point 0.0954774  16357
/gps/hist/point 0.0979899  16437
/gps/hist/point 0.100503  16443
/gps/hist/point 0.103015  16720
/gps/hist/point 0.105528  16820
/gps/hist/point 0.10804  16829
/gps/hist/point 0.110553  16915
/gps/hist/point 0.113065  16952
/gps/hist/point 0.115578  17153
/gps/hist/point 0.11809  17055
/gps/hist/point 0.120603  17281
/gps/hist/point 0.123116  17188
/gps/hist/point 0.125628  17465
/gps/hist/point 0.128141  18231
/gps/hist/point 0.130653  17544
/gps/hist/point 0.133166  17484
/gps/hist/point 0.135678  17591
/gps/hist/point 0.138191  17789
/gps/hist/point 0.140704  17877
/gps/hist/point 0.143216  17858
/gps/hist/point 0.145729  17988
/gps/hist/point 0.148241  18130
/gps/hist/point 0.150754  18442
/gps/hist/point 0.153266  18073
/gps/hist/point 0.155779  18548
/gps/hist/point 0.158291  18781
/gps/hist/point 0.160804  18644
/gps/hist/point 0.163317  18972
/gps/hist/point 0.165829  19073
/gps/hist/point 0.168342  18833
/gps/hist/point 0.170854  19138
/gps/hist/point 0.173367  19398
/gps/hist/point 0.175879  19316
/gps/hist/point 0.178392  19191
/gps/hist/point 0.180905  19473
/gps/hist/point 0.183417  19165
/gps/hist/point 0.18593  19552
/gps/hist/point 0.188442  20077
/gps/hist/point 0.190955  19866
/gps/hist/point 0.193467  19844
/gps/hist/point 0.19598  20046
/gps/hist/point 0.198492  19989
/gps/hist/point 0.201005  20057
/gps/hist/point 0.203518  20087
/gps/hist/point 0.20603  20581
/gps/hist/point 0.208543  20328
/gps/hist/point 0.211055  20574
/gps/hist/point 0.213568  20857
/gps/hist/point 0.21608  20780
/gps/hist/point 0.218593  20796
/gps/hist/point 0.221106  20864
/gps/hist/point 0.223618  20905
/gps/hist/point 0.226131  20980
/gps/hist/point 0.228643  21070
/gps/hist/point 0.231156  21590
/gps/hist/point 0.233668  21581
/gps/hist/point 0.236181  21481
/gps/hist/point 0.238693  21630
/gps/hist/point 0.241206  21795
/gps/hist/point 0.243719  22081
/gps/hist/point 0.246231  22073
/gps/hist/point 0.248744  22279
/gps/hist/point 0.251256  22323
/gps/hist/point 0.253769  22457
/gps/hist/point 0.256281  22424
/gps/hist/point 0.258794  22489
/gps/hist/point 0.261307  22730
/gps/hist/point 0.263819  22687
/gps/hist/point 0.266332  23005
/gps/hist/point 0.268844  22579
/gps/hist/point 0.271357  22835
/gps/hist/point 0.273869  23407
/gps/hist/point 0.276382  23016
/gps/hist/point 0.278894  23265
/gps/hist/point 0.281407  23495
/gps/hist/point 0.28392  23726
/gps/hist/point 0.286432  23617
/gps/hist/point 0.288945  23671
/gps/hist/point 0.291457  23544
/gps/hist/point 0.29397  23595
/gps/hist/point 0.296482  23940
/gps/hist/point 0.298995  23903
/gps/hist/point 0.301508  24064
/gps/hist/point 0.30402  24198
/gps/hist/point 0.306533  24354
/gps/hist/point 0.309045  24541
/gps/hist/point 0.311558  24475
/gps/hist/point 0.31407  24876
/gps/hist/point 0.316583  24676
/gps/hist/point 0.319095  24909
/gps/hist/point 0.321608  24767
/gps/hist/point 0.324121  25172
/gps/hist/point 0.326633  25129
/gps/hist/point 0.329146  25241
/gps/hist/point 0.331658  25542
/gps/hist/point 0.334171  25247
/gps/hist/point 0.336683  25746
/gps/hist/point 0.339196  26390
/gps/hist/point 0.341709  27608
/gps/hist/point 0.344221  27855
/gps/hist/point 0.346734  28288
/gps/hist/point 0.349246  27998
/gps/hist/point 0.351759  28711
/gps/hist/point 0.354271  28506
/gps/hist/point 0.356784  28596
/gps/hist/point 0.359296  28664
/gps/hist/point 0.361809  29237
/gps/hist/point 0.364322  29096
/gps/hist/point 0.366834  29532
/gps/hist/point 0.369347  29130
/gps/hist/point 0.371859  29602
/gps/hist/point 0.374372  29611
/gps/hist/point 0.376884  29483
/gps/hist/point 0.379397  29636
/gps/hist/point 0.38191  29707
/gps/hist/point 0.384422  30020
/gps/hist/point 0.386935  30048
/gps/hist/point 0.389447  29860
/gps/hist/point 0.39196  29787
/gps/hist/point 0.394472  30146
/gps/hist/point 0.396985  30243
/gps/hist/point 0.399497  30312
/gps/hist/point 0.40201  30098
/gps/hist/point 0.404523  30473
/gps/hist/point 0.407035  30755
/gps/hist/point 0.409548  30461
/gps/hist/point 0.41206  30691
/gps/hist/point 0.414573  31050
/gps/hist/point 0.417085  30748
/gps/hist/point 0.419598  30372
/gps/hist/point 0.422111  30561
/gps/hist/point 0.424623  30807
/gps/hist/point 0.427136  30965
/gps/hist/point 0.429648  30667
/gps/hist/point 0.432161  31008
